site,in_out,species,damage
Laurel,outside,Erica scoparia,1
Laurel,outside,Daphne gnidium,1
Laurel,outside,Stauracanthus boivinii,0
Laurel,outside,Calluna vulgaris,1
Laurel,outside,Erica australis,1
Laurel,outside,Cistus salvifolius,2
Laurel,outside,Genista triacanthos,0
Laurel,outside,Arbutus unedo,0
Laurel,outside,Lavandula stoechas,3
Laurel,outside,Phillyrea angustifolia,4
Laurel,outside,Genista tridens,1
Laurel,inside,Calluna vulgaris,1
Laurel,inside,Stauracanthus boivinii,0
Laurel,inside,Erica scoparia,1
Laurel,inside,Quercus suber,2
Laurel,inside,Erica australis,1
Laurel,inside,Cistus salvifolius,1
Laurel,inside,Phillyrea angustifolia,4
Laurel,inside,Thymus baeticus,0
Laurel,inside,Lavandula stoechas,3
Barrancones,outside,Erica scoparia,3
Barrancones,outside,Phillyrea latifolia,4
Barrancones,outside,Lavandula stoechas,2
Barrancones,outside,Teucrium fruticans,1
Barrancones,outside,Pinus pinaster,1
Barrancones,outside,Ruscus aculeatus,2
Barrancones,outside,Calluna vulgaris,2
Barrancones,outside,Ulex borgiae,0
Barrancones,outside,Stauracanthus boivinii,0
Barrancones,inside,Erica scoparia,1
Barrancones,inside,Pinus pinaster,0
Barrancones,inside,Ruscus aculeatus,1
Barrancones,inside,Ulex borgiae,0
Barrancones,inside,Phillyrea latifolia,2
Barrancones,inside,Arbutus unedo,1
Barrancones,inside,Quercus canariensis,1
Hernan_Martin,outside,Pistacia lentiscus,2
Hernan_Martin,outside,Erica arborea,2
Hernan_Martin,outside,Quercus suber,3
Hernan_Martin,outside,Cistus salvifolius,2
Hernan_Martin,outside,Ulex borgiae,2
Hernan_Martin,outside,Teucrium fruticans,1
Hernan_Martin,outside,Smilax aspera,2
Hernan_Martin,outside,Cistus crispus,1
Hernan_Martin,outside,Lavandula stoechas,1
Hernan_Martin,outside,Genista triacanthos,2
Hernan_Martin,outside,Erica australis,3
Hernan_Martin,outside,Calluna vulgaris,2
Hernan_Martin,outside,Phlomys purpurea,0
Hernan_Martin,outside,Stauracanthus boivinii,0
Hernan_Martin,outside,Quercus lusitanica,1
Hernan_Martin,outside,Olea europaea,3
Hernan_Martin,inside,Crataegus monogyna,1
Hernan_Martin,inside,Smilax aspera,0
Hernan_Martin,inside,Cistus salvifolius,1
Hernan_Martin,inside,Ulex borgiae,0
Hernan_Martin,inside,Rubus ulmifolius,3
Hernan_Martin,inside,Quercus suber,1
Hernan_Martin,inside,Quercus lusitanica,1
Hernan_Martin,inside,Teucrium fruticans,0
Hernan_Martin,inside,Phillyrea latifolia,1
Hernan_Martin,inside,Phlomys purpurea,0
Hernan_Martin,inside,Myrtus communis,3
Hernan_Martin,inside,Arbutus unedo,0
Hernan_Martin,inside,Pistacia lentiscus,0
Hernan_Martin,inside,Erica arborea,0
Hernan_Martin,inside,Viburnum tinus,0
Teja1,outside,Adenocarpus telonensis,1
Teja1,outside,Olea europaea,3
Teja1,outside,Quercus suber,3
Teja1,outside,Viburnum tinus,3
Teja1,outside,Ulex borgiae,0
Teja1,outside,Calicotome villosa,1
Teja1,outside,Cistus salvifolius,1
Teja1,outside,Erica australis,0
Teja1,outside,Pistacia lentiscus,2
Teja1,outside,Daphne gnidium,0
Teja1,outside,Stauracanthus boivinii,0
Teja1,inside,Ulex borgiae,0
Teja1,inside,Lavandula stoechas,0
Teja1,inside,Cistus crispus,0
Teja1,inside,Cistus salvifolius,1
Teja1,inside,Rubus ulmifolius,0
Teja1,inside,Calicotome villosa,0
Teja1,inside,Olea europaea,0
Teja1,inside,Erica australis,0
Teja1,inside,Pistacia lentiscus,0
Mogea_Luenga2,outside,Erica australis,2
Mogea_Luenga2,outside,Teucrium fruticans,2
Mogea_Luenga2,outside,Ulex borgiae,0
Mogea_Luenga2,outside,Stauracanthus boivinii,0
Mogea_Luenga2,outside,Phillyrea latifolia,3
Mogea_Luenga2,outside,Daphne gnidium,0
Mogea_Luenga2,outside,Olea europaea,2
Mogea_Luenga2,outside,Cistus salvifolius,0
Mogea_Luenga2,outside,Genista triacanthos,0
Mogea_Luenga2,outside,Genista tridentata,0
Mogea_Luenga2,outside,Quercus suber,2
Mogea_Luenga2,outside,Calicotome villosa,2
Mogea_Luenga2,outside,Adenocarpus telonensis,2
Mogea_Luenga2,outside,Pistacia lentiscus,2
Mogea_Luenga2,outside,Lavandula stoechas,0
Mogea_Luenga2,outside,Rubus ulmifolius,2
Mogea_Luenga2,inside,Pistacia lentiscus,1
Mogea_Luenga2,inside,Ulex borgiae,0
Mogea_Luenga2,inside,Erica australis,1
Mogea_Luenga2,inside,Smilax aspera,1
Mogea_Luenga2,inside,Genista tridentata,0
Mogea_Luenga2,inside,Lavandula stoechas,0
Mogea_Luenga2,inside,Cistus salvifolius,0
Mogea_Luenga2,inside,Teucrium fruticans,1
Mogea_Luenga2,inside,Stauracanthus boivinii,0
Mogea_Luenga2,inside,Quercus suber,0
Mogea_Luenga2,inside,Genista tridens,0
Mogea_Luenga2,inside,Genista triacanthos,0
Mogea_Luenga2,inside,Phillyrea latifolia,1
Mogea_Luenga2,inside,Daphne gnidium,0
Mogea_Luenga2,inside,Calicotome villosa,1
Cuevas_Hospital2,outside,Teucrium fruticans,1
Cuevas_Hospital2,outside,Pinus pinaster,0
Cuevas_Hospital2,outside,Cistus salvifolius,2
Cuevas_Hospital2,outside,Erica australis,2
Cuevas_Hospital2,outside,Ulex borgiae,0
Cuevas_Hospital2,outside,Phillyrea latifolia,3
Cuevas_Hospital2,outside,Pistacia lentiscus,2
Cuevas_Hospital2,outside,Rubus ulmifolius,3
Cuevas_Hospital2,outside,Crataegus monogyna,2
Cuevas_Hospital2,outside,Daphne gnidium,0
Cuevas_Hospital2,outside,Smilax aspera,2
Cuevas_Hospital2,outside,Olea europaea,4
Cuevas_Hospital2,outside,Calicotome villosa,1
Cuevas_Hospital2,outside,Quercus suber,0
Cuevas_Hospital2,outside,Genista triacanthos,0
Cuevas_Hospital2,inside,Dittrichia viscosa,0
Cuevas_Hospital2,inside,Teucrium fruticans,0
Cuevas_Hospital2,inside,Erica australis,0
Cuevas_Hospital2,inside,Rubus ulmifolius,2
Cuevas_Hospital2,inside,Ulex borgiae,0
Cuevas_Hospital2,inside,Smilax aspera,1
Cuevas_Hospital2,inside,Genista triacanthos,0
Cuevas_Hospital2,inside,Calicotome villosa,1
Cuevas_Hospital2,inside,Cistus salvifolius,0
Cuevas_Hospital2,inside,Pistacia lentiscus,2
Cuevas_Hospital2,inside,Phillyrea latifolia,2
Cuevas_Hospital2,inside,Calluna vulgaris,0
Cuevas_Hospital2,inside,Olea europaea,1
Beatas1,outside,Genista triacanthos,0
Beatas1,outside,Pistacia lentiscus,3
Beatas1,outside,Erica australis,0
Beatas1,outside,Olea europaea,4
Beatas1,outside,Ulex borgiae,0
Beatas1,outside,Rubus ulmifolius,2
Beatas1,outside,Cistus salvifolius,1
Beatas1,outside,Phlomys purpurea,0
Beatas1,outside,Myrtus communis,2
Beatas1,outside,Quercus suber,3
Beatas1,outside,Smilax aspera,3
Beatas1,outside,Calicotome villosa,2
Beatas1,outside,Teucrium fruticans,0
Beatas1,outside,Phillyrea latifolia,3
Beatas1,outside,Daphne gnidium,0
Beatas1,outside,Lavandula stoechas,0
Beatas1,inside,Quercus suber,2
Beatas1,inside,Teucrium fruticans,0
Beatas1,inside,Phlomys purpurea,0
Beatas1,inside,Erica australis,0
Beatas1,inside,Pistacia lentiscus,2
Beatas1,inside,Smilax aspera,2
Beatas1,inside,Lavandula stoechas,1
Beatas1,inside,Phillyrea latifolia,2
Beatas1,inside,Calicotome villosa,0
Beatas1,inside,Cistus salvifolius,1
Beatas1,inside,Ulex borgiae,0
Beatas1,inside,Olea europaea,3
Beatas1,inside,Rubus ulmifolius,2
Beatas1,inside,Stauracanthus boivinii,0
Faldas_Rubio2,outside,Erica australis,2
