site,monte,council,date,in_out,shrub_tree,section,Erica scoparia,Daphne gnidium,Stauracanthus boivinii,Erica sp.,Calluna vulgaris,Erica australis,Cistus salvifolius ,Genista triacanthos ,Arbutus unedo,Lavandula stoechas,Phillyrea angustifolia,Genista tridens,Quercus suber,Thymus baeticus,Phillyrea latifolia,Teucrium fruticans ,Ruscus aculeatus,Ulex borgiae,Quercus canariensis,Pinus pinaster,Pistacia lentiscus ,Erica arborea,Cistus crispus,Smilax aspera,Phlomys purpurea,Quercus lusitanica,Olea europaea,Crataegus monogyna,Rubus ulmifolius ,Myrtus communis,Viburnum tinus,Adenocarpus telonensis,Calicotome villosa ,Genista tridentata,Dittrichia viscosa,Pyrus bourgaeana,Ilex aquifolium ,Halimium halimifolium,Dorycnium pentaphyllum,Ceratonia siliqua,Cistus albidus,Cistus populifolius,Quercus pyrenaica,Lithodora prostrata,Cytisus striatus,Rosa sempervirens,Asparagus aphyllus,Cistus ladanifer,Chamaerops humilis
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,8.6,9.6,0,4.4,22,18.6,1.3,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,8.8,10.9,0.5,4.6,23.2,19.1,1.4,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,9.6,13.5,0.95,6.4,,,2.2,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,10,13.8,2.25,8.4,,,2.6,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,10.8,16.3,2.4,,,,7.6,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,11.3,17.1,2.6,,,,8,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,13.2,,3.5,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,14.9,,4.1,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,15.1,,4.6,,,,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,15.85,,4.8,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,17.5,,5.1,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,17.6,,5.2,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,19.1,,5.3,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,23.3,,5.4,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,23.7,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,24.5,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,24.8,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,25,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Monte_Laurel,Alcala de los Gazules ,10/06/2015,outside,shrub,1,,,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
