sp
Adenocarpus telonensis
Alnus glutinosa
Arbutus unedo
Calicotome villosa
Calluna vulgaris
Ceratonia siliqua
Chamaerops humilis
Cistus albidus
Cistus crispus
Cistus ladanifer
Cistus populifolius
Cistus salvifolius
Crataegus monogyna
Cytisus baeticus
Cytisus striatus
Cytisus tribracteolatus
Cytisus villosus
Daphne gnidium
Dittrichia viscosa
Erica arborea
Erica australis
Erica scoparia
Erica umbellata
Fraxinus angustifolia
Genista linifolia
Genista triacanthos
Genista tridens
Genista tridentata
Halimium atriplicifolium
Halimium halimifolium
Ilex aquifolium
Laurus nobilis
Lavandula stoechas
Lithodora prostrata
Myrtus communis
Olea europaea
Phillyrea angustifolia
Phillyrea latifolia
Phlomys purpurea
Pinus pinaster
Pistacia lentiscus
Pyrus bourgaeana
Quercus canariensis
Quercus coccifera
Quercus lusitanica
Quercus pyrenaica
Quercus suber
Rhamnus alaternus
Rhododendron ponticum
Rosa pouzinii
Rosa sempervirens
Rubus ulmifolius
Stauracanthus boivinii
Genista linifolia
Teucrium fruticans
Thymus baeticus
Ulex borgiae
Viburnum tinus
Vitis vinifera
