species,site,shrub_tree,in_out,cover,presence
Adenocarpus telonensis,Aljibe,shrub,inside,0,0
Adenocarpus telonensis,Aljibe,tree,inside,0,0
Adenocarpus telonensis,Aljibe,shrub,outside,0,0
Adenocarpus telonensis,Aljibe,tree,outside,0,0
Adenocarpus telonensis,Barrancones,shrub,inside,0,0
Adenocarpus telonensis,Barrancones,tree,inside,0,0
Adenocarpus telonensis,Barrancones,shrub,outside,0,0
Adenocarpus telonensis,Barrancones,tree,outside,0,0
Adenocarpus telonensis,Beatas1,shrub,inside,0,0
Adenocarpus telonensis,Beatas1,tree,inside,0,0
Adenocarpus telonensis,Beatas1,shrub,outside,0,0
Adenocarpus telonensis,Beatas1,tree,outside,0,0
Adenocarpus telonensis,Caheruelas4,shrub,inside,0,0
Adenocarpus telonensis,Caheruelas4,tree,inside,0,0
Adenocarpus telonensis,Caheruelas4,shrub,outside,0,0
Adenocarpus telonensis,Caheruelas4,tree,outside,0,0
Adenocarpus telonensis,Caheruelas5,shrub,inside,0,0
Adenocarpus telonensis,Caheruelas5,tree,inside,0,0
Adenocarpus telonensis,Caheruelas5,shrub,outside,0,0
Adenocarpus telonensis,Caheruelas5,tree,outside,0,0
Adenocarpus telonensis,Cucarretes1,shrub,inside,0,0
Adenocarpus telonensis,Cucarretes1,tree,inside,0,0
Adenocarpus telonensis,Cucarretes1,shrub,outside,0,0
Adenocarpus telonensis,Cucarretes1,tree,outside,0,0
Adenocarpus telonensis,Cucarretes2,shrub,inside,0,0
Adenocarpus telonensis,Cucarretes2,tree,inside,0,0
Adenocarpus telonensis,Cucarretes2,shrub,outside,0,0
Adenocarpus telonensis,Cucarretes2,tree,outside,0,0
Adenocarpus telonensis,Cuevas_Hospital2,shrub,inside,0,0
Adenocarpus telonensis,Cuevas_Hospital2,tree,inside,0,0
Adenocarpus telonensis,Cuevas_Hospital2,shrub,outside,0,0
Adenocarpus telonensis,Cuevas_Hospital2,tree,outside,0,0
Adenocarpus telonensis,Faldas_Rubio1,shrub,inside,0,0
Adenocarpus telonensis,Faldas_Rubio1,tree,inside,0,0
Adenocarpus telonensis,Faldas_Rubio1,shrub,outside,0,0
Adenocarpus telonensis,Faldas_Rubio1,tree,outside,0,0
Adenocarpus telonensis,Faldas_Rubio2,shrub,inside,0,0
Adenocarpus telonensis,Faldas_Rubio2,tree,inside,0,0
Adenocarpus telonensis,Faldas_Rubio2,shrub,outside,0,0
Adenocarpus telonensis,Faldas_Rubio2,tree,outside,0,0
Adenocarpus telonensis,Garganta_Honda,shrub,inside,0,0
Adenocarpus telonensis,Garganta_Honda,tree,inside,0,0
Adenocarpus telonensis,Garganta_Honda,shrub,outside,0,0
Adenocarpus telonensis,Garganta_Honda,tree,outside,0,0
Adenocarpus telonensis,Gavilanes,shrub,inside,0,0
Adenocarpus telonensis,Gavilanes,tree,inside,0,0
Adenocarpus telonensis,Gavilanes,shrub,outside,0,0
Adenocarpus telonensis,Gavilanes,tree,outside,0,0
Adenocarpus telonensis,Hernan_Martin,shrub,inside,0,0
Adenocarpus telonensis,Hernan_Martin,tree,inside,0,0
Adenocarpus telonensis,Hernan_Martin,shrub,outside,0,0
Adenocarpus telonensis,Hernan_Martin,tree,outside,0,0
Adenocarpus telonensis,Laguna_Picacho,shrub,inside,0,0
Adenocarpus telonensis,Laguna_Picacho,tree,inside,0,0
Adenocarpus telonensis,Laguna_Picacho,shrub,outside,0.6000000000000014,1
Adenocarpus telonensis,Laguna_Picacho,tree,outside,0,0
Adenocarpus telonensis,Las_Naranjas,shrub,inside,0,0
Adenocarpus telonensis,Las_Naranjas,tree,inside,0,0
Adenocarpus telonensis,Las_Naranjas,shrub,outside,0,0
Adenocarpus telonensis,Las_Naranjas,tree,outside,0,0
Adenocarpus telonensis,Laurel,shrub,inside,0,0
Adenocarpus telonensis,Laurel,tree,inside,0,0
Adenocarpus telonensis,Laurel,shrub,outside,0,0
Adenocarpus telonensis,Laurel,tree,outside,0,0
Adenocarpus telonensis,Mogea_Luenga2,shrub,inside,0,0
Adenocarpus telonensis,Mogea_Luenga2,tree,inside,0,0
Adenocarpus telonensis,Mogea_Luenga2,shrub,outside,0.5999999999999996,1
Adenocarpus telonensis,Mogea_Luenga2,tree,outside,0,0
Adenocarpus telonensis,Palancar,shrub,inside,0,0
Adenocarpus telonensis,Palancar,tree,inside,0,0
Adenocarpus telonensis,Palancar,shrub,outside,0,0
Adenocarpus telonensis,Palancar,tree,outside,0,0
Adenocarpus telonensis,Puertollano,shrub,inside,0,0
Adenocarpus telonensis,Puertollano,tree,inside,0,0
Adenocarpus telonensis,Puertollano,shrub,outside,0,0
Adenocarpus telonensis,Puertollano,tree,outside,0,0
Adenocarpus telonensis,Teja1,shrub,inside,0,0
Adenocarpus telonensis,Teja1,tree,inside,0,0
Adenocarpus telonensis,Teja1,shrub,outside,1.1999999999999993,1
Adenocarpus telonensis,Teja1,tree,outside,0,0
Arbutus unedo,Aljibe,shrub,inside,7.699999999999999,1
Arbutus unedo,Aljibe,tree,inside,1.8000000000000007,1
Arbutus unedo,Aljibe,shrub,outside,0.3999999999999986,1
Arbutus unedo,Aljibe,tree,outside,0,0
Arbutus unedo,Barrancones,shrub,inside,5.4,1
Arbutus unedo,Barrancones,tree,inside,6.699999999999999,1
Arbutus unedo,Barrancones,shrub,outside,0,0
Arbutus unedo,Barrancones,tree,outside,2.200000000000001,1
Arbutus unedo,Beatas1,shrub,inside,0,0
Arbutus unedo,Beatas1,tree,inside,0,0
Arbutus unedo,Beatas1,shrub,outside,0,0
Arbutus unedo,Beatas1,tree,outside,0,0
Arbutus unedo,Caheruelas4,shrub,inside,0,0
Arbutus unedo,Caheruelas4,tree,inside,0,0
Arbutus unedo,Caheruelas4,shrub,outside,0,0
Arbutus unedo,Caheruelas4,tree,outside,0,0
Arbutus unedo,Caheruelas5,shrub,inside,0,0
Arbutus unedo,Caheruelas5,tree,inside,0,0
