site,in_out,shrub_tree,Adenocarpus telonensis,Arbutus unedo,bare,Calicotome villosa,Calluna vulgaris,Ceratonia siliqua,Cistus albidus,Cistus crispus,Cistus ladanifer,Cistus populifolius,Cistus salvifolius,Crataegus monogyna,Cytisus striatus,Daphne gnidium,Dittrichia viscosa,Erica arborea,Erica australis,Erica scoparia,Genista triacanthos,Genista tridens,Genista tridentata,Halimium halimifolium,Ilex aquifolium,Lavandula stoechas,Lithodora prostrata,Myrtus communis,Olea europaea,Phillyrea angustifolia,Phillyrea latifolia,Phlomys purpurea,Pinus pinaster,Pistacia lentiscus,Pyrus bourgaeana,Quercus canariensis,Quercus lusitanica,Quercus pyrenaica,Quercus suber,Rosa sempervirens,Rubus ulmifolius,Stauracanthus boivinii,Teucrium fruticans,Thymus baeticus,Ulex borgiae,Viburnum tinus
Aljibe,inside,shrub,0,7.699999999999999,3.1,0,0,0,0,0,0,17.75,0,0,0,0,0,0,11.500000000000004,0,2.1499999999999995,0,0.4500000000000002,0,1.0999999999999996,0,0,0,0,0,0,0,0,0,0,0,12.250000000000002,0.5,0,0,16.7,0,0.20000000000000007,0,0.6499999999999999,0
Aljibe,inside,tree,0,1.8000000000000007,37.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.949999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aljibe,outside,shrub,0,0.3999999999999986,9.3,0,2.700000000000001,0,0,0,0,11.349999999999998,0,0,0,0,0,20.86,0,0,2.0500000000000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0.09999999999999964,0,0,0,1.1500000000000008,0
Aljibe,outside,tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Barrancones,inside,shrub,0,5.4,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.200000000000003,0,0,0,0,0,0,0,0,0,0,0.1999999999999993,0,0.3000000000000007,0,0,0.10000000000000142,0,0,0,0,0,0,0,0,1.1999999999999993,0
Barrancones,inside,tree,0,6.699999999999999,1.9000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.599999999999998,0,0,0,0,47.8,0,0,1.3000000000000003,0,0,0,0,0,0,0
Barrancones,outside,shrub,0,0,24.35,0,0.3999999999999986,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0,0,0,0,0,0.2999999999999998,0,0,0,0,0.09999999999999987,0,0.1999999999999993,0,0,0,0,0,0,0,0,1.1500000000000021,2,0,3.000000000000001,0
Barrancones,outside,tree,0,2.200000000000001,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,0,0,12.099999999999996,0,0,0,0,0,0,0
Beatas1,inside,shrub,0,0,9.45,7.549999999999995,0,0,0,0,0,0,8.399999999999993,0,0,0,0,0,4.1999999999999975,0,0,0,0,0,0,2.4000000000000004,0,0,3.0999999999999996,0,0.20000000000000007,1.5,0,20,0,0,0,0,1.8000000000000007,0,2.9,1.2999999999999998,0.3000000000000007,0,5.399999999999997,0
Beatas1,inside,tree,0,0,29.800000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0
