site,town,lat,long,altitude,inside,shrub_height,species,acronym,shrub_tree,cover,presence,damage,palatability,resprouter,Herrera_type,Coca
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Adenocarpus telonensis,Adentelo,shrub,0,0,NA,2,NA,1,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Adenocarpus telonensis,Adentelo,tree,0,0,NA,2,NA,1,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Thymus baeticus,Thymbaet,tree,0,0,NA,NA,NA,1,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Thymus baeticus,Thymbaet,shrub,0,0,NA,NA,NA,1,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Teucrium fruticans,Teucfrut,tree,0,0,NA,2,NA,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Rubus ulmifolius,Rubuulmi,tree,0,0,NA,2,NA,NA,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Rubus ulmifolius,Rubuulmi,shrub,16.7,1,0,2,NA,NA,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Rosa sempervirens,Rosasemp,tree,0,0,NA,2,NA,NA,intermedio
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Quercus pyrenaica,Querpyre,shrub,0.5,1,0,3,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Quercus pyrenaica,Querpyre,tree,0,0,NA,3,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Pyrus bourgaeana,Pyrubour,tree,0,0,NA,4,NA,2,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Pyrus bourgaeana,Pyrubour,shrub,0,0,NA,4,NA,2,NA
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Pistacia lentiscus,Pistlent,shrub,0,0,NA,5,1,2,2
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Phlomys purpurea,Phlopurp,shrub,0,0,NA,5,0,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Phlomys purpurea,Phlopurp,tree,0,0,NA,5,0,1,1
Aljibe,Jerez,36.51343,-5.60929,1039,1,2,Phillyrea latifolia,Phillati,shrub,0,0,NA,2,NA,2,2
