species,acronym,palatability,resprouter,Herrera_type,Coca
Adenocarpus telonensis,Adentelo,2,NA,1,intermedio
Alnus glutinosa,Alnuglut,5,NA,NA,NA
Arbutus unedo,Arbuuned,5,1,2,2
Calicotome villosa,Calivill,2,1,1,intermedio
Calluna vulgaris,Callvulg,3,0,1,1
Ceratonia siliqua,Cerasili,2,NA,2,NA
Cistus albidus,Cistalbi,5,0,1,1
Cistus crispus,Cistcris,5,0,1,1
Cistus ladanifer,Cistlada,NA,0,1,NA
Cistus populifolius,Cistpopu,4,0,1,1
Cistus salvifolius,Cistsalv,4,0,1,1
Crataegus monogyna,Cratmono,3,1,2,intermedio
Cytisus baeticus,Cytibaet,1,NA,1,NA
Cytisus striatus,Cytistri,NA,NA,1,NA
Cytisus tribracteolatus,Cytitrib,NA,NA,1,NA
Cytisus villosus,Cytivill,1,NA,1,intermedio
Daphne gnidium,Daphgnid,6,1,2,2
Dittrichia viscosa,Dittvisc,NA,NA,NA,NA
Erica arborea,Ericarbo,5,1,1,1
Erica australis,Ericaust,5,1,1,NA
Erica scoparia,Ericscop,5,1,1,1
Erica umbellata,Ericumbe,4,1,1,1
Fraxinus angustifolia,Fraxangu,1,NA,NA,NA
Genista linifolia,Genilini,4,1,1,intermedio
Genista triacanthos,Genitria,3,1,1,intermedio
Genista tridens,Genitrids,3,1,1,intermedio
Genista tridentata,Genitrid,2,1,1,intermedio
Halimium atriplicifolium,Haliatri,5,0,1,NA
Halimium halimifolium,Halihali,5,0,1,NA
Ilex aquifolium,Ilexaqui,1,NA,2,NA
Laurus nobilis,Laurnobi,1,NA,2,2
Lavandula stoechas,Lavastoe,5,0,1,1
Lithodora prostrata,Lithpros,NA,NA,1,NA
Myrtus communis,Myrtcomm,2,NA,2,2
Olea europaea,Oleaeuro,1,NA,2,2
Phillyrea angustifolia,Philangu,2,NA,2,2
Phlomys purpurea,Phlopurp,5,0,1,1
Phillyrea latifolia,Phillati,2,NA,2,2
Pinus pinaster,Pinupina,5,NA,NA,NA
Pistacia lentiscus,Pistlent,5,1,2,2
Pyrus bourgaeana,Pyrubour,4,NA,2,NA
Quercus canariensis,Quercana,3,1,2,2
Quercus lusitanica,Querlusi,3,1,2,2
Quercus coccifera,Quercocc,4,1,2,2
Quercus pyrenaica,Querpyre,3,1,2,2
Quercus suber,Quersube,3,1,2,2
Rhamnus alaternus,Rhamalat,3,1,2,2
Rhododendron ponticum,Rhodpont,6,NA,2,NA
Rosa pouzinii,Rosapouz,2,NA,NA,intermedio
Rosa sempervirens,Rosasemp,2,NA,NA,intermedio
Rubus ulmifolius,Rubuulmi,2,NA,NA,intermedio
Stauracanthus boivinii,Stauboiv,2,1,1,intermedio
Genista linifolia,Genilini.1,4,NA,1,NA
Teucrium fruticans,Teucfrut,2,NA,1,1
Thymus baeticus,Thymbaet,NA,NA,1,NA
Ulex borgiae,Ulexborg,3,1,1,intermedio
Viburnum tinus,Vibutinu,2,1,2,2
Vitis vinifera,Vitivini,NA,NA,2,NA
